id,song_popularity
0,0.41840357
1,0.47293645
2,0.2766087
3,0.29295287
4,0.35990536
5,0.27193967
6,0.3458007
7,0.40791216
8,0.4724183
9,0.2981543
10,0.3953337
11,0.45428342
12,0.39555106
13,0.2589566
14,0.28506762
15,0.45635954
16,0.44766402
17,0.35963613
18,0.28707904
19,0.3274452
20,0.3301025
21,0.38162726
22,0.3051711
23,0.3711106
24,0.4111963
25,0.43977436
26,0.3784199
27,0.33124143
28,0.44148898
29,0.419943
30,0.42310327
31,0.3698216
32,0.38018495
33,0.2635302
34,0.44905084
35,0.36513734
36,0.39532396
37,0.31376398
38,0.27329603
39,0.47202516
40,0.38360804
41,0.2750083
42,0.36878243
43,0.39380822
44,0.38119376
45,0.25770065
46,0.29099947
47,0.3476909
48,0.26931468
49,0.25770065
50,0.37354845
51,0.29329172
52,0.39280534
53,0.3658533
54,0.36675224
55,0.4388238
56,0.36456266
57,0.30721998
58,0.33350378
59,0.37199143
60,0.27392164
61,0.26956537
62,0.29295334
63,0.38455385
64,0.44307023
65,0.3810223
66,0.25829345
67,0.44075602
68,0.29785904
69,0.34066027
70,0.40431085
71,0.34503996
72,0.3777959
73,0.33667082
74,0.37095433
75,0.4280296
76,0.36646572
77,0.25916368
78,0.3808071
79,0.4226449
80,0.34958965
81,0.3926037
82,0.474252
83,0.33000356
84,0.258755
85,0.3623573
86,0.34239736
87,0.3565763
88,0.3171528
89,0.47380513
90,0.32969677
91,0.397286
92,0.46018833
93,0.41096872
94,0.3034266
95,0.368615
96,0.28264153
97,0.4876063
98,0.36783388
99,0.39320353
100,0.37383786
101,0.42849216
102,0.2961932
103,0.37103993
104,0.31845325
105,0.2917202
106,0.26101035
107,0.258586
108,0.2584899
109,0.44438416
110,0.3056047
111,0.29028457
112,0.3561162
113,0.34030607
114,0.43084687
115,0.274985
116,0.29276672
117,0.43253675
118,0.4082772
119,0.3738503
120,0.4239027
121,0.2818368
122,0.30296698
123,0.36684665
124,0.4028503
125,0.25770065
126,0.40108046
127,0.40902033
128,0.31561574
129,0.40886283
130,0.47464886
131,0.2807774
132,0.25818926
133,0.32631832
134,0.26232463
135,0.34672332
136,0.32378
137,0.30510217
138,0.34367377
139,0.4304668
140,0.27514738
141,0.38717496
142,0.40154856
143,0.2699286
144,0.41431633
145,0.32890132
146,0.37184295
147,0.41042703
148,0.26023635
149,0.4366963
150,0.42037016
151,0.36658
152,0.46640596
153,0.27646285
154,0.3331572
155,0.2939145
156,0.37386897
157,0.33369526
158,0.3142937
159,0.2587567
160,0.36320156
161,0.377001
162,0.4176007
163,0.25770065
164,0.29184136
165,0.37890813
166,0.41950244
167,0.42643243
168,0.45013037
169,0.33171624
170,0.37086502
171,0.4763402
172,0.4125285
173,0.3087731
174,0.3190624
175,0.4477436
176,0.25818926
177,0.38651103
178,0.26182613
179,0.42026466
180,0.30722436
181,0.31459245
182,0.3016562
183,0.3616624
184,0.3501826
185,0.4658594
186,0.42110437
187,0.26058358
188,0.35779768
189,0.4892594
190,0.2952819
